town,road_id,lane_id,entry_s_m,R_m,direction,R_spread,curve_m,heading_deg,lead_in_m,lane_width_m,lanes_left,lanes_right,junction,x,y,v_ay85_kmh,ay_at_130
Town03,2,3,83.4,30.4,right,0.152,28.0,52.8,10.0,3.5,1,0,False,-73.4,-171.7,31.7,42.93
Town03,67,2,173.9,107.4,left,0.032,42.0,-22.4,198.0,3.5,0,1,False,153.8,203.6,59.6,12.14
Town03,67,3,120.0,60.3,left,0.15,46.0,-43.7,0.0,3.5,1,0,False,208.0,193.2,44.6,21.62
Town03,1100,-5,0.0,21.7,left,0.054,64.0,-169.3,0.0,3.5,1,0,True,22.9,-0.2,26.8,60.19
Town03,1100,-4,0.0,21.7,left,0.054,64.0,-169.3,0.0,3.5,0,1,True,19.4,-0.1,26.8,60.19
Town03,76,1,172.9,44.2,right,0.138,26.0,33.7,12.0,3.5,0,0,False,167.2,89.0,38.2,29.53
Town03,2,-1,35.6,30.2,left,0.158,30.0,-56.8,192.0,3.5,0,1,False,-47.5,-205.7,31.6,43.11
Town03,1089,3,19.0,21.8,left,0.053,52.0,-136.4,0.0,3.5,0,1,True,15.3,-11.5,26.9,59.72
Town03,1089,4,19.0,21.8,left,0.053,52.0,-136.4,0.0,3.5,1,0,True,18.1,-13.7,26.9,59.72
Town03,36,-4,0.0,21.7,left,0.0,32.0,-84.6,0.0,3.5,0,1,False,0.4,-19.5,26.8,60.19
Town04,44,2,152.5,60.2,right,0.26,186.0,176.9,0.0,3.5,0,0,False,-55.4,144.0,44.6,21.64
Town04,41,-3,8.8,76.4,left,0.161,102.0,-76.5,500.0,3.5,2,1,False,-421.4,9.4,50.3,17.06
Town04,41,-2,12.3,74.3,left,0.0,96.0,-74.0,0.0,3.5,1,2,False,-425.0,13.0,49.5,17.55
Town04,41,-1,8.8,76.4,left,0.161,102.0,-76.5,500.0,3.5,0,3,False,-421.3,16.4,50.3,17.06
Town04,42,3,0.4,160.5,left,0.019,236.0,-84.3,92.0,3.5,0,3,False,160.9,-385.6,72.8,8.13
Town04,42,4,0.4,160.5,left,0.019,236.0,-84.3,92.0,3.5,1,2,False,160.9,-389.1,72.8,8.13
Town04,42,5,0.4,160.5,left,0.019,236.0,-84.3,92.0,3.5,2,1,False,160.9,-392.6,72.8,8.13
Town04,35,6,238.2,149.2,left,0.165,220.0,-84.5,204.0,3.5,3,0,False,414.1,-228.2,70.2,8.74
Town04,51,1,194.2,106.2,right,0.157,150.0,80.9,22.0,3.5,0,0,False,62.3,-201.5,59.2,12.28
Town04,43,-4,31.9,149.1,right,0.156,220.0,84.6,20.0,3.5,3,0,False,247.8,-364.2,70.2,8.75
Town04,37,-4,28.1,54.3,right,0.02,68.0,71.7,32.0,3.5,3,0,False,380.7,-27.7,42.4,24.0
Town04,1191,-4,0.3,56.8,right,0.151,100.0,100.9,416.0,3.5,0,0,True,-67.9,5.9,43.3,22.95
Town04,51,1,129.1,100.8,right,0.147,84.0,47.8,0.0,3.5,0,0,False,80.4,-262.0,57.7,12.94
Town04,1191,-4,0.1,58.4,right,0.156,180.0,176.5,414.0,3.5,0,0,True,-67.7,5.9,43.9,22.32
Town04,51,1,194.4,114.4,right,0.006,82.0,41.1,22.0,3.5,0,0,False,62.3,-201.3,61.5,11.4
Town04,49,-4,36.3,160.3,right,0.004,236.0,84.4,40.0,3.5,3,0,False,14.6,-219.5,72.8,8.14
Town04,35,3,234.8,147.2,left,0.0,140.0,-54.5,0.0,3.5,0,3,False,403.6,-231.7,69.7,8.86
Town04,35,4,234.8,147.2,left,0.0,136.0,-52.9,0.0,3.5,1,2,False,407.1,-231.7,69.7,8.86
Town04,35,5,234.8,147.2,left,0.0,136.0,-52.9,0.0,3.5,2,1,False,410.6,-231.7,69.7,8.86
Town04,34,2,138.0,61.1,right,0.135,176.0,165.0,6.0,3.5,0,0,False,75.5,-103.8,44.9,21.34
Town04,1191,-4,0.3,56.9,right,0.169,252.0,253.6,416.0,3.5,0,0,True,-67.9,5.9,43.4,22.9
Town04,1191,-2,2.7,56.7,right,0.159,230.0,232.6,418.0,3.5,0,0,True,-70.3,5.9,43.3,23.02
Town04,52,-1,0.6,62.9,left,0.142,78.0,-71.1,4.0,3.5,0,0,False,191.5,-248.6,45.6,20.73
Town04,1191,-2,3.6,54.2,right,0.0,84.0,88.7,0.0,3.5,0,0,True,-71.1,5.8,42.3,24.05
Town04,33,2,130.1,57.5,right,0.159,162.0,161.4,0.0,3.5,0,0,False,-119.5,-43.9,43.6,22.67
Town04,52,1,97.0,63.2,right,0.159,78.0,70.7,6.0,3.5,0,0,False,131.4,-185.9,45.7,20.63
Town04,6,-4,60.5,181.6,left,0.16,270.0,-85.2,4.0,3.5,3,0,False,-515.3,238.2,77.5,7.18
Town04,1101,2,53.8,58.9,right,0.067,164.0,159.6,152.0,3.5,0,0,True,77.5,37.9,44.1,22.14
Town04,35,5,238.3,149.2,left,0.17,220.0,-84.5,204.0,3.5,2,1,False,410.6,-228.2,70.2,8.74
Town04,35,-4,1.3,147.8,right,0.026,138.0,53.5,24.0,3.5,3,0,False,250.0,-364.2,69.9,8.83
Town04,51,1,194.3,111.5,right,0.118,98.0,50.4,22.0,3.5,0,0,False,62.3,-201.4,60.7,11.7
Town04,49,-3,33.5,162.2,right,0.168,240.0,84.8,466.0,3.5,2,1,False,11.1,-216.7,73.2,8.04
Town04,49,-2,33.5,162.2,right,0.168,240.0,84.8,466.0,3.5,1,2,False,7.6,-216.7,73.2,8.04
Town04,49,-1,33.5,162.2,right,0.168,240.0,84.8,466.0,3.5,0,3,False,4.1,-216.7,73.2,8.04
Town04,45,3,285.4,181.6,right,0.161,270.0,85.2,126.0,3.5,0,3,False,-316.3,415.0,77.5,7.18
Town04,45,4,285.4,181.6,right,0.161,270.0,85.2,126.0,3.5,1,2,False,-316.3,411.5,77.5,7.18
Town04,45,5,285.4,181.6,right,0.161,270.0,85.2,126.0,3.5,2,1,False,-316.3,408.0,77.5,7.18
Town04,45,6,285.4,181.6,right,0.161,270.0,85.2,126.0,3.5,3,0,False,-316.3,404.5,77.5,7.18
Town04,43,-4,32.0,152.4,right,0.151,80.0,30.1,20.0,3.5,3,0,False,247.8,-364.2,71.0,8.56
Town04,1191,-2,2.6,56.5,right,0.162,246.0,249.6,418.0,3.5,0,0,True,-70.2,5.9,43.2,23.09
Town04,33,2,129.7,60.8,right,0.053,94.0,88.6,0.0,3.5,0,0,False,-119.5,-44.3,44.8,21.46
Town04,1191,-2,2.6,56.4,right,0.163,248.0,251.7,418.0,3.5,0,0,True,-70.2,5.9,43.2,23.1
Town04,46,3,60.6,199.3,right,0.03,296.0,85.1,462.0,3.5,0,3,False,-4.5,219.4,81.1,6.54
Town04,46,4,60.6,199.3,right,0.03,296.0,85.1,462.0,3.5,1,2,False,-8.0,219.4,81.1,6.54
Town04,46,5,60.6,199.3,right,0.03,296.0,85.1,462.0,3.5,2,1,False,-11.5,219.4,81.1,6.54
Town04,45,-3,404.7,198.9,left,0.0,294.0,-84.7,0.0,3.5,2,1,False,-196.9,432.1,81.1,6.56
Town04,45,-2,404.7,198.9,left,0.0,294.0,-84.7,0.0,3.5,1,2,False,-197.0,428.6,81.1,6.56
Town04,45,-1,404.7,198.9,left,0.0,294.0,-84.7,0.0,3.5,0,3,False,-197.0,425.1,81.1,6.56
Town04,41,3,127.5,74.4,right,0.005,98.0,75.5,130.0,3.5,0,3,False,-492.7,95.7,49.6,17.54
Town04,41,4,127.5,74.4,right,0.005,98.0,75.5,130.0,3.5,1,2,False,-489.2,95.7,49.6,17.54
Town04,41,5,127.5,74.4,right,0.005,98.0,75.5,130.0,3.5,2,1,False,-485.7,95.7,49.6,17.54
Town04,1191,-4,0.1,57.6,right,0.161,124.0,123.4,414.0,3.5,0,0,True,-67.7,5.9,43.6,22.65
Town04,6,-3,61.6,180.9,left,0.091,268.0,-84.9,6.0,3.5,2,1,False,-511.8,239.3,77.3,7.21
Town04,6,-2,61.6,180.9,left,0.091,268.0,-84.9,6.0,3.5,1,2,False,-508.3,239.3,77.3,7.21
Town04,6,-1,61.6,180.9,left,0.091,268.0,-84.9,6.0,3.5,0,3,False,-504.8,239.3,77.3,7.21
